"","flgs_number","pkts","bytes","state_number","dur","mean","stddev","sum","min","max","spkts","dpkts","sbytes","dbytes","rate","srate","drate","TnP_PDstIP","TnP_PerProto","AR_P_Proto_P_SrcIP","N_IN_Conn_P_DstIP","AR_P_Proto_P_Dport","attack","category","subcategory"
"3576889",1,10,680,2,1453.945923,2.8e-05,8e-06,0.000138,2.2e-05,4.2e-05,5,5,350,330,0.00619,0.002751,0.002751,10,10,0.00687783,1,0.00687783,0,"Normal","Normal"
"3576890",1,2,180,2,0.048565,0.048565,0,0.048565,0.048565,0.048565,1,1,90,90,20.59096,0,0,2,843,0.552038,1,41.1819,0,"Normal","Normal"
"3576892",1,4,630,2,569.93396,0.098505,0.08015,0.197011,0.018356,0.178655,2,2,174,456,0.005264,0.001755,0.001755,20,843,0.00701836,4,0.0275885,0,"Normal","Normal"
"3576895",1,2,172,4,2.500101,0,0,0,0,0,2,0,172,0,0.399984,0.399984,0,8,843,1.59514,4,0.0275885,0,"Normal","Normal"
"3576896",1,2,172,4,2.501101,0,0,0,0,0,2,0,172,0,0.399824,0.399824,0,8,843,0.552038,4,0.0275885,0,"Normal","Normal"
"3576898",1,4,1086,4,728.37085,7.7e-05,1.6e-05,0.000154,6.1e-05,9.3e-05,4,0,1086,0,0.004119,0.004119,0,4,843,0.00549171,1,0.00549171,0,"Normal","Normal"
"3576899",1,2,172,2,0.007523,0.007523,0,0.007523,0.007523,0.007523,1,1,86,86,132.925705,0,0,4,843,1.59514,2,0.0275885,0,"Normal","Normal"
"3576900",1,2,172,4,2.501218,0,0,0,0,0,2,0,172,0,0.399805,0.399805,0,8,843,0.771515,4,0.0275885,0,"Normal","Normal"
"3576902",1,2,172,2,0.007698,0.007698,0,0.007698,0.007698,0.007698,1,1,86,86,129.90387,0,0,4,843,0.552038,2,0.0275885,0,"Normal","Normal"
"3576903",1,2,172,4,2.501009,0,0,0,0,0,2,0,172,0,0.399839,0.399839,0,8,843,0.799677,4,0.0275885,0,"Normal","Normal"
"3576905",1,2,172,2,0.007226,0.007226,0,0.007226,0.007226,0.007226,1,1,86,86,138.389145,0,0,20,200009,3.35127,10,3.11157,0,"Normal","Normal"
"3576907",1,2,120,4,0.01005,0.01005,0,0.01005,0.01005,0.01005,2,0,120,0,99.502487,99.502487,0,6,200009,4.12964,3,199.263,0,"Normal","Normal"
"3576908",1,2,120,4,0.010045,0.010045,0,0.010045,0.010045,0.010045,2,0,120,0,99.55201,99.55201,0,6,200009,4.12964,3,199.322,0,"Normal","Normal"
"3576909",1,2,156,4,0.010024,0.010024,0,0.010024,0.010024,0.010024,2,0,156,0,99.760574,99.760574,0,4,200009,199.531,2,199.263,0,"Normal","Normal"
"3576910",1,2,156,4,0.010023,0.010023,0,0.010023,0.010023,0.010023,2,0,156,0,99.770531,99.770531,0,4,200009,199.531,2,199.322,0,"Normal","Normal"
"3576911",1,2,172,2,0.007666,0.007666,0,0.007666,0.007666,0.007666,1,1,86,86,130.446121,0,0,20,200009,3.37968,10,3.11157,0,"Normal","Normal"
"3576912",1,1,60,4,0,0,0,0,0,0,1,0,60,0,0,0,0,2,200009,4.12964,2,0,0,"Normal","Normal"
"3576913",1,1,79,4,0,0,0,0,0,0,1,0,79,0,0,0,0,2,200009,4.12964,2,0,0,"Normal","Normal"
"3576914",1,2,172,4,2.500902,0,0,0,0,0,2,0,172,0,0.399856,0.399856,0,16,200009,4.12964,8,3.11157,0,"Normal","Normal"
"3576915",1,2,172,4,2.500109,0,0,0,0,0,2,0,172,0,0.399983,0.399983,0,16,200009,2.5924,8,3.11157,0,"Normal","Normal"
"3576916",1,2,172,4,2.501172,0,0,0,0,0,2,0,172,0,0.399813,0.399813,0,16,200009,3.35127,8,3.11157,0,"Normal","Normal"
"3576917",1,2,172,2,0.00725,0.00725,0,0.00725,0.00725,0.00725,1,1,86,86,137.931046,0,0,20,200009,4.12964,10,3.11157,0,"Normal","Normal"
"3576918",1,2,172,2,0.007168,0.007168,0,0.007168,0.007168,0.007168,1,1,86,86,139.508926,0,0,20,200009,2.5924,10,3.11157,0,"Normal","Normal"
"3576919",1,2,172,4,2.500985,0,0,0,0,0,2,0,172,0,0.399842,0.399842,0,16,200009,3.37968,8,3.11157,0,"Normal","Normal"
"3576920",1,2,172,2,0.00743,0.00743,0,0.00743,0.00743,0.00743,1,1,86,86,134.589493,0,0,20,200009,3.35127,10,3.11157,0,"Normal","Normal"
"3576921",1,2,172,2,0.00745,0.00745,0,0.00745,0.00745,0.00745,1,1,86,86,134.228195,0,0,20,200009,3.37968,10,3.11157,0,"Normal","Normal"
"3576922",1,29726,28543568,4,1685.706909,4.947334,0.231518,1662.304321,0.710964,4.991788,29726,0,28543568,0,17.633553,17.633553,0,225521,200009,26.668,7,26.668,0,"Normal","Normal"
"3576923",1,30157,28898696,2,1685.706909,4.947345,0.231582,1662.307983,0.710952,4.991786,30157,0,28898696,0,17.889231,17.889231,0,225521,228373,17.9148,7,11.943,0,"Normal","Normal"
"3576924",1,10056,2976576,2,1686.122192,4.832168,0.230037,1623.608521,0.655978,4.999866,10056,0,2976576,0,5.963387,5.963387,0,84736,228373,5.9722,7,11.943,0,"Normal","Normal"
"3576925",1,16326,979560,4,1685.973267,4.893885,0.231947,1644.345215,0.655978,4.999755,16326,0,979560,0,9.682835,9.682835,0,84736,200009,9.81687,7,9.81687,0,"Normal","Normal"
"3576926",1,18431,17131488,2,1685.80896,4.898582,0.235357,1645.92334,0.598172,4.999866,18431,0,17131488,0,10.932437,10.932437,0,84736,228373,10.8203,7,10.9482,0,"Normal","Normal"
"3576927",1,3018,682915,2,1679.588989,3.947982,1.272364,1314.677856,1.51683,4.999982,1509,1509,583321,99594,1.796273,0.897839,0.897839,5396,228373,17.9997,2,1.70849,0,"Normal","Normal"
"3576928",7,59453,60884536,2,1685.706909,4.947914,0.228494,1662.499146,0.768694,4.999863,29727,29726,28717341,32167195,35.268291,17.634146,17.633553,112543,228373,17.9997,2,35.5576,0,"Normal","Normal"
"3576929",1,59452,59114121,2,1685.706909,4.947584,0.231615,1662.388062,0.710969,4.999863,29726,29726,30347258,28766863,35.267696,17.633553,17.633553,225521,200009,26.668,7,26.668,0,"Normal","Normal"
"3576930",1,2,333,2,0.215891,0.215891,0,0.215891,0.215891,0.215891,1,1,98,235,4.631967,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576931",1,2,366,2,0.27849,0.27849,0,0.27849,0.27849,0.27849,1,1,98,268,3.590793,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576932",1,2,1295,2,0.031651,0.031651,0,0.031651,0.031651,0.031651,1,1,82,1213,31.594578,0,0,4,200009,17.1051,2,3.11157,0,"Normal","Normal"
"3576933",1,2,1209,2,0.031568,0.031568,0,0.031568,0.031568,0.031568,1,1,70,1139,31.67765,0,0,4,200009,17.1051,2,3.11157,0,"Normal","Normal"
"3576934",1,2,885,2,0.164368,0.164368,0,0.164368,0.164368,0.164368,1,1,82,803,6.083909,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576935",1,2,323,2,0.291631,0.291631,0,0.291631,0.291631,0.291631,1,1,93,230,3.428991,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576936",1,2,419,2,0.009295,0.009295,0,0.009295,0.009295,0.009295,1,1,93,326,107.584724,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576937",1,2,1290,2,0.016084,0.016084,0,0.016084,0.016084,0.016084,1,1,81,1209,62.173588,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576938",1,2,883,2,0.16424,0.16424,0,0.16424,0.16424,0.16424,1,1,81,802,6.088651,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576939",1,32,6689,6,61.740784,0.292655,0.331883,2.048587,0.15452,1.105515,18,14,2361,4328,0.502099,0.275345,0.210558,32,228373,17.9997,1,0.309227,0,"Normal","Normal"
"3576940",1,2,500,4,900.022827,0,0,0,0,0,2,0,500,0,0.001111,0.001111,0,6,200009,0.00222217,3,0.00222217,0,"Normal","Normal"
"3576941",1,2,201,2,0.180337,0.180337,0,0.180337,0.180337,0.180337,1,1,98,103,5.545174,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
"3576942",1,2,1301,2,0.015493,0.015493,0,0.015493,0.015493,0.015493,1,1,85,1216,64.54528,0,0,4,200009,17.1051,2,3.11157,0,"Normal","Normal"
"3576943",1,2,1401,2,0.01513,0.01513,0,0.01513,0.01513,0.01513,1,1,70,1331,66.093849,0,0,4,200009,17.1051,2,3.11157,0,"Normal","Normal"
"3576944",1,2,891,2,0.164297,0.164297,0,0.164297,0.164297,0.164297,1,1,85,806,6.086538,0,0,2,200009,17.1051,1,3.11157,0,"Normal","Normal"
