"","flgs","flgs_number","proto","proto_number","sport","dport","pkts","bytes","state","state_number","dur","mean","stddev","sum","min","max","spkts","dpkts","sbytes","dbytes","rate","srate","drate","TnBPSrcIP","TnBPDstIP","TnP_PSrcIP","TnP_PDstIP","TnP_PerProto","TnP_Per_Dport","AR_P_Proto_P_SrcIP","AR_P_Proto_P_DstIP","N_IN_Conn_P_DstIP","N_IN_Conn_P_SrcIP","AR_P_Proto_P_Sport","AR_P_Proto_P_Dport","Pkts_P_State_P_Protocol_P_DestIP","Pkts_P_State_P_Protocol_P_SrcIP","attack","category","subcategory"
"3654439","e",1,"tcp",1,54776,163,2,120,"RST",1,0.003998,0.003998,0,0.003998,0.003998,0.003998,1,1,60,60,250.125046,0,0,11700,11700,195,195,195,2,622.419,622.419,100,100,622.419,500.25,190,190,1,"Reconnaissance","Service_Scan"
"3611233","e",1,"tcp",1,47238,465,11,1839,"FIN",6,1.283976,1.283976,0,1.283976,1.283976,1.283976,6,5,580,1259,7.788308,3.894154,3.115323,94804,136135,706,1033,1033,144,26.2455,29.44,100,75,8.56714,14.0554,627,397,1,"Reconnaissance","Service_Scan"
"3626737","e",1,"tcp",1,1822,867,5,300,"RST",1,0.004961,0.004961,0,0.004961,0.004961,0.004961,2,3,120,180,806.289062,201.572266,403.144531,29820,29820,497,497,497,5,978.664,978.664,100,100,978.664,1007.86,497,497,1,"Reconnaissance","Service_Scan"
"3637344","e",1,"tcp",1,34141,54328,2,120,"RST",1,0.001189,0.001189,0,0.001189,0.001189,0.001189,1,1,60,60,841.042908,0,0,10560,11280,176,188,176,2,29.2254,29.2254,100,88,29.2254,1682.09,176,176,1,"Reconnaissance","Service_Scan"
"3612012","e",1,"tcp",1,37508,40193,2,120,"RST",1,5.8e-05,5.8e-05,0,5.8e-05,5.8e-05,5.8e-05,1,1,60,60,17241.378906,0,0,12000,12000,200,200,200,2,10939.7,10939.7,100,100,10939.7,34482.8,200,200,1,"Reconnaissance","Service_Scan"
"3613331","e",1,"tcp",1,51005,524,2,120,"RST",1,0.000396,0.000396,0,0.000396,0.000396,0.000396,1,1,60,60,2525.252686,0,0,11760,17985,196,237,237,2,7655.35,243.546,100,98,7655.35,5050.5,226,196,1,"Reconnaissance","Service_Scan"
"3597716","e",1,"tcp",1,50919,1533,2,120,"RST",1,5.4e-05,5.4e-05,0,5.4e-05,5.4e-05,5.4e-05,1,1,60,60,18518.517578,0,0,12060,12060,201,201,201,2,12130.4,12130.4,100,100,12130.4,37037,201,201,1,"Reconnaissance","Service_Scan"
"3619624","e",1,"tcp",1,1676,1,2,120,"RST",1,3.7e-05,3.7e-05,0,3.7e-05,3.7e-05,3.7e-05,1,1,60,60,27027.025391,0,0,3840,11880,64,198,200,198,55411.3,36383.7,99,32,54054.1,36383.7,198,64,1,"Reconnaissance","Service_Scan"
"3582905","e",1,"tcp",1,59626,27715,2,120,"RST",1,0.003771,0.003771,0,0.003771,0.003771,0.003771,1,1,60,60,265.181641,0,0,11640,11640,194,194,194,2,549.949,549.949,100,100,549.949,530.363,188,188,1,"Reconnaissance","OS_Fingerprint"
"3647694","e",1,"tcp",1,51082,1163,2,134,"RST",1,0.000469,0.000469,0,0.000469,0.000469,0.000469,1,1,74,60,2132.196289,0,0,13400,13400,200,200,200,2,3693.31,3693.31,100,100,4264.39,4264.39,200,200,1,"Reconnaissance","Service_Scan"
"3589631","e",1,"tcp",1,33844,109,2,120,"RST",1,3e-06,3e-06,0,3e-06,3e-06,3e-06,1,1,60,60,333333.3125,0,0,6000,12000,100,200,200,2,45372.1,34995.6,100,50,45372.1,666667,200,100,1,"Reconnaissance","OS_Fingerprint"
"3617860","e",1,"tcp",1,36062,3306,13,1113,"FIN",6,0.19769,0.19769,0,0.19769,0.19769,0.19769,7,6,532,581,60.701099,30.35055,25.292124,27825,111300,325,1300,1300,1300,65.6071,65.5562,100,25,65.7595,65.5562,1300,325,1,"Reconnaissance","Service_Scan"
"3649809","e",1,"tcp",1,44898,7001,2,134,"RST",1,0.000276,0.000276,0,0.000276,0.000276,0.000276,1,1,74,60,3623.188232,0,0,1146,13710,17,204,204,4,16.7469,39.845,100,8,7246.38,3421.73,203,17,1,"Reconnaissance","Service_Scan"
"3663440","eU",6,"udp",3,35227,49196,1,60,"INT",4,6.3e-05,6.3e-05,0,6.3e-05,6.3e-05,6.3e-05,1,0,60,0,0,0,0,946,3508,15,57,57,2,13624,8682.41,57,15,11857.7,31746,57,15,1,"Reconnaissance","Service_Scan"
"3603251","e",1,"udp",3,35008,21784,1,60,"INT",4,0,0,0,0,0,0,1,0,60,0,0,0,0,932,3738,14,58,58,2,18995.9,19224.4,57,14,20790,44444.4,56,14,1,"Reconnaissance","Service_Scan"
"3660900","e",1,"udp",3,41433,49226,1,60,"INT",4,0,0,0,0,0,0,1,0,60,0,0,0,0,842,3516,14,58,58,1,8206.33,8576.08,58,14,9023.79,0,58,14,1,"Reconnaissance","Service_Scan"
"3594410","e",1,"tcp",1,55499,3011,2,120,"RST",1,0.000745,0.000745,0,0.000745,0.000745,0.000745,1,1,60,60,1342.28186,0,0,12060,12060,201,201,201,2,2910.22,2910.22,100,100,2910.22,2684.56,201,201,1,"Reconnaissance","OS_Fingerprint"
"3654033","e",1,"tcp",1,54776,366,2,120,"RST",1,0.00111,0.00111,0,0.00111,0.00111,0.00111,1,1,60,60,900.90094,0,0,12000,12000,200,200,200,2,1216.38,1216.38,100,100,1216.38,1801.8,200,200,1,"Reconnaissance","Service_Scan"
"3579110","e",1,"tcp",1,51137,1533,2,120,"RST",1,0.000208,0.000208,0,0.000208,0.000208,0.000208,1,1,60,60,4807.692383,0,0,12000,12000,200,200,200,2,9326.18,9326.18,100,100,9326.18,9615.38,200,200,1,"Reconnaissance","OS_Fingerprint"
"3633964","e",1,"tcp",1,51456,2022,2,120,"RST",1,0.003753,0.003753,0,0.003753,0.003753,0.003753,1,1,60,60,266.453522,0,0,11880,11880,198,198,198,2,772.728,772.728,100,100,772.728,532.907,196,196,1,"Reconnaissance","Service_Scan"
"3642810","e",1,"tcp",1,41080,10617,2,134,"RST",1,0.000187,0.000187,0,0.000187,0.000187,0.000187,1,1,74,60,5347.59375,0,0,11122,11122,166,166,200,2,58907,58907,83,83,10695.2,10695.2,166,166,1,"Reconnaissance","Service_Scan"
"3583443","e",1,"tcp",1,41707,1111,2,120,"RST",1,0.000924,0.000924,0,0.000924,0.000924,0.000924,1,1,60,60,1082.251099,0,0,11820,11820,197,197,197,2,1065.21,1065.21,100,100,1065.21,2164.5,194,194,1,"Reconnaissance","OS_Fingerprint"
"3639961","eU",6,"udp",3,55093,37783,1,60,"INT",4,0.000225,0.000225,0,0.000225,0.000225,0.000225,1,0,60,0,0,0,0,840,3496,14,57,57,1,7117.44,8231.05,57,14,6807.35,4444.44,57,14,1,"Reconnaissance","Service_Scan"
"3634266","e",1,"tcp",1,51457,8194,2,120,"RST",1,0.000662,0.000662,0,0.000662,0.000662,0.000662,1,1,60,60,1510.574097,0,0,10800,17160,180,286,196,2,78.5519,85.4534,99,90,33.2406,3021.15,196,180,1,"Reconnaissance","Service_Scan"
"3585591","e",1,"tcp",1,41840,2007,2,120,"RST",1,0.001458,0.001458,0,0.001458,0.001458,0.001458,1,1,60,60,685.871033,0,0,11700,11700,195,195,195,2,1297.23,1297.23,100,100,1297.23,1371.74,190,190,1,"Reconnaissance","OS_Fingerprint"
"3617083","e",1,"tcp",1,52716,3306,13,1113,"FIN",6,0.197888,0.197888,0,0.197888,0.197888,0.197888,7,6,532,581,60.640362,30.320181,25.266817,27825,111300,325,1300,1300,1300,65.5923,65.5252,100,25,65.6937,65.5252,1300,325,1,"Reconnaissance","Service_Scan"
"3584857","e",1,"tcp",1,42635,1,4,268,"RST",1,1.139295,1.139295,0,1.139295,1.139295,1.139295,2,2,148,120,2.633207,0.877736,0.877736,6396,14712,88,208,196,24,23.3661,27.8574,98,41,3.51094,3.50591,196,82,1,"Reconnaissance","OS_Fingerprint"
"3646844","e",1,"tcp",1,33222,443,2,134,"RST",1,0.000311,0.000311,0,0.000311,0.000311,0.000311,1,1,74,60,3215.434082,0,0,9380,9380,140,140,200,2,3498.08,3498.08,70,70,6430.87,6430.87,140,140,1,"Reconnaissance","Service_Scan"
"3619829","e",1,"tcp",1,2420,1,2,120,"RST",1,8.5e-05,8.5e-05,0,8.5e-05,8.5e-05,8.5e-05,1,1,60,60,11764.706055,0,0,3960,12000,66,200,200,200,12509.5,20565.6,100,33,23529.4,20565.6,200,66,1,"Reconnaissance","Service_Scan"
"3610404","e",1,"tcp",1,55267,32771,2,120,"RST",1,1.2e-05,1.2e-05,0,1.2e-05,1.2e-05,1.2e-05,1,1,60,60,83333.328125,0,0,12000,12000,200,200,200,2,9646.92,9646.92,100,100,9646.92,166667,200,200,1,"Reconnaissance","Service_Scan"
"3590683","e",1,"tcp",1,45115,1108,2,120,"RST",1,0.000673,0.000673,0,0.000673,0.000673,0.000673,1,1,60,60,1485.884155,0,0,12000,12000,200,200,200,2,3608.74,3608.74,100,100,3608.74,2971.77,200,200,1,"Reconnaissance","OS_Fingerprint"
"3627284","e",1,"tcp",1,1973,1,1,60,"RST",1,0,0,0,0,0,0,1,0,60,0,0,0,0,1980,6000,33,100,100,100,0,0,100,33,0,0,100,33,1,"Reconnaissance","Service_Scan"
"3610704","e",1,"tcp",1,55267,1107,2,120,"RST",1,0.000119,0.000119,0,0.000119,0.000119,0.000119,1,1,60,60,8403.361328,0,0,12060,12060,201,201,201,2,23363.9,23363.9,100,100,23363.9,16806.7,201,201,1,"Reconnaissance","Service_Scan"
"3625156","e",1,"tcp",1,2290,293,2,120,"RST",1,0.000974,0.000974,0,0.000974,0.000974,0.000974,1,1,60,60,1026.69397,0,0,12300,12300,205,205,205,2,1408.08,1408.08,100,100,1408.08,2053.39,205,205,1,"Reconnaissance","Service_Scan"
"3627050","e",1,"tcp",1,1895,1,1,60,"RST",1,0,0,0,0,0,0,1,0,60,0,0,0,0,1980,6000,33,100,100,100,0,0,100,33,0,0,100,33,1,"Reconnaissance","Service_Scan"
"3637211","e",1,"tcp",1,34141,8045,2,120,"RST",1,0.003583,0.003583,0,0.003583,0.003583,0.003583,1,1,60,60,279.095734,0,0,11880,11880,198,198,198,2,656.381,656.381,100,100,656.381,558.191,196,196,1,"Reconnaissance","Service_Scan"
"3620780","e",1,"tcp",1,2737,1,2,120,"RST",1,5.9e-05,5.9e-05,0,5.9e-05,5.9e-05,5.9e-05,1,1,60,60,16949.152344,0,0,3960,12000,66,200,200,200,26938.8,29124.8,100,33,33898.3,29124.8,200,66,1,"Reconnaissance","Service_Scan"
"3649089","e",1,"tcp",1,51596,8082,2,134,"RST",1,0.001288,0.001288,0,0.001288,0.001288,0.001288,1,1,74,60,776.397522,0,0,13844,13844,206,206,206,2,31.7537,31.7537,100,100,1552.8,1552.8,206,206,1,"Reconnaissance","Service_Scan"
"3582261","e",1,"tcp",1,33223,25734,2,120,"RST",1,0.0041,0.0041,0,0.0041,0.0041,0.0041,1,1,60,60,243.902435,0,0,11700,11700,195,195,195,2,628.517,628.517,100,100,628.517,487.805,190,190,1,"Reconnaissance","OS_Fingerprint"
"3578918","e",1,"tcp",1,51137,2607,2,120,"RST",1,0.000138,0.000138,0,0.000138,0.000138,0.000138,1,1,60,60,7246.376465,0,0,12000,12000,200,200,200,2,12879.1,12879.1,100,100,12879.1,14492.8,200,200,1,"Reconnaissance","OS_Fingerprint"
"3579892","e",1,"tcp",1,49203,43,2,120,"RST",1,0.000152,0.000152,0,0.000152,0.000152,0.000152,1,1,60,60,6578.947754,0,0,12000,12000,200,200,200,2,16243,16243,100,100,16243,13157.9,200,200,1,"Reconnaissance","OS_Fingerprint"
"3653728","e",1,"tcp",1,46794,1533,2,120,"RST",1,0.003961,0.003961,0,0.003961,0.003961,0.003961,1,1,60,60,252.461487,0,0,11940,11940,199,199,199,2,540.999,540.999,100,100,540.999,504.923,198,198,1,"Reconnaissance","Service_Scan"
"3651607","e",1,"tcp",1,36917,5904,2,120,"RST",1,0.004029,0.004029,0,0.004029,0.004029,0.004029,1,1,60,60,248.200531,0,0,11880,11880,198,198,198,2,605.518,605.518,100,100,605.518,496.401,196,196,1,"Reconnaissance","Service_Scan"
"3617218","e",1,"tcp",1,35738,3306,13,1113,"FIN",6,0.198008,0.198008,0,0.198008,0.198008,0.198008,7,6,532,581,60.603611,30.301805,25.251505,27825,111300,325,1300,1300,1300,65.5023,65.4764,100,25,65.6539,65.4764,1300,325,1,"Reconnaissance","Service_Scan"
"3615436","e",1,"tcp",1,37746,3306,13,1113,"FIN",6,0.198023,0.198023,0,0.198023,0.198023,0.198023,7,6,532,581,60.599018,30.299509,25.249592,27825,111300,325,1300,1300,1300,65.4495,65.4585,100,25,65.6489,65.4585,1300,325,1,"Reconnaissance","Service_Scan"
"3667613","e",1,"tcp",1,64482,2200,2,120,"RST",1,0.003971,0.003971,0,0.003971,0.003971,0.003971,1,1,60,60,251.825729,0,0,10454,12014,174,200,200,2,140.137,160.797,100,87,108.796,503.651,200,174,1,"Reconnaissance","Service_Scan"
"3655818","eU",6,"udp",3,44350,1081,1,60,"INT",4,0.000163,0.000163,0,0.000163,0.000163,0.000163,1,0,60,0,0,0,0,1020,4424,17,69,69,1,7459.41,6687.99,69,17,8553.65,6134.97,69,17,1,"Reconnaissance","Service_Scan"
"3666619","e",1,"tcp",1,42052,2190,2,120,"RST",1,0.003939,0.003939,0,0.003939,0.003939,0.003939,1,1,60,60,253.871536,0,0,7214,11908,120,198,198,2,75.6204,124.093,100,61,46.9925,507.743,196,118,1,"Reconnaissance","Service_Scan"
"3624192","e",1,"tcp",1,2969,399,2,120,"RST",1,0.000521,0.000521,0,0.000521,0.000521,0.000521,1,1,60,60,1919.385742,0,0,12060,12060,201,201,201,2,3998.89,3998.89,100,100,3998.89,3838.77,201,201,1,"Reconnaissance","Service_Scan"
"3666920","e",1,"tcp",1,64482,50001,2,120,"RST",1,0.004268,0.004268,0,0.004268,0.004268,0.004268,1,1,60,60,234.301788,0,0,11700,11700,195,195,195,2,568.535,568.535,100,100,568.535,468.604,190,190,1,"Reconnaissance","Service_Scan"
"3615880","e",1,"tcp",1,37968,3306,13,1113,"FIN",6,0.198514,0.198514,0,0.198514,0.198514,0.198514,7,6,532,581,60.449139,30.224569,25.187141,27825,111300,325,1300,1300,1300,65.5848,65.55,100,25,65.4866,65.55,1300,325,1,"Reconnaissance","Service_Scan"
